Mes_Año,Usuario,Metros cuadrados reales por rollo,tiempo_en_rollo,tiempo_en_horas,metros_por_hora
2022-01,eperezv,785580.41828,8 days 03:30:18,195.505,4018.211392445206
2022-01,gilrodrigueza,197988.561,1 days 12:05:38,36.09388888888889,5485.37625329003
2022-01,grangel,918281.331947,8 days 05:41:43,197.6952777777778,4644.933061978381
2022-01,jgalvana,453107.66122,4 days 07:38:33,103.6425,4371.832609402513
2022-01,jmatahe,882717.766946,7 days 17:52:04,185.86777777777777,4749.170499048906
2022-01,jmlarar,124118.06608,1 days 23:20:15,47.3375,2621.981855400053
2022-01,jtorrem,141238.77264,1 days 09:18:47,33.31305555555556,4239.742355799778
2022-01,jtorresb,238990.95945,2 days 23:00:06,71.00166666666667,3365.990837539025
2022-01,jtoscano,1045643.116736,9 days 19:19:17,235.3213888888889,4443.468235816502
2022-01,mcarrill,3736.1880000000006,0 days 00:51:00,0.85,4395.5152941176475
2022-01,rholten,167528.091737,1 days 18:22:50,42.38055555555555,3952.9470423621947
2022-01,tflores,4271.865000000001,0 days 00:48:03,0.8008333333333333,5334.274713839752
2022-02,JRODRIMA,10725.477,0 days 02:37:07,2.618611111111111,4095.8647714012945
2022-02,ajrodriguezg,1836.9460000000001,0 days 00:28:28,0.47444444444444445,3871.783138173302
2022-02,alopezb,4484.352,0 days 00:47:26,0.7905555555555556,5672.405903021785
2022-02,elopezt,7121.874000000001,0 days 01:41:12,1.6866666666666668,4222.454940711463
2022-02,eperezv,1079745.497375,10 days 08:17:49,248.29694444444445,4348.605657596359
2022-02,gilrodrigueza,287191.075318,3 days 03:44:39,75.74416666666667,3791.5933062127992
2022-02,grangel,1463539.635638,13 days 09:52:56,321.8822222222222,4546.817234993476
2022-02,iperalta,16853.664,0 days 04:30:02,4.500555555555556,3744.7963461301074
2022-02,jgalvana,629758.523,5 days 10:07:54,130.13166666666666,4839.394892352618
2022-02,jmatahe,826913.672145,7 days 22:51:26,190.85722222222222,4332.6297140707275
2022-02,jmlarar,739062.963374,7 days 04:50:20,172.8388888888889,4276.022416743916
2022-02,jtorrem,1132820.5765200001,11 days 03:11:59,267.19972222222225,4239.602373455561
2022-02,jtorresb,317199.679,3 days 04:20:05,76.33472222222223,4155.378702716472
2022-02,jtoscano,1094311.268552,10 days 08:58:43,248.97861111111112,4395.201915812938
2022-02,rholten,356783.506,3 days 16:30:46,88.51277777777777,4030.8700614475
2022-03,JRODRIMA,1790.212,0 days 00:25:38,0.4272222222222222,4190.353185955787
2022-03,alopezb,33741.913,0 days 09:29:31,9.491944444444444,3554.794615317082
2022-03,eperezv,502245.519916,4 days 21:21:32,117.35888888888888,4279.569486990523
2022-03,gilrodrigueza,372163.95024,3 days 11:45:59,83.76638888888888,4442.879240427246
2022-03,grangel,771661.8417,7 days 10:43:14,178.72055555555556,4317.70055381306
2022-03,iperalta,9392.01,0 days 02:31:43,2.528611111111111,3714.2959463913
2022-03,jgalvana,232333.96600000001,2 days 13:44:48,61.74666666666667,3762.6964910386528
2022-03,jmatahe,949073.115128,10 days 12:29:17,252.48805555555555,3758.8832194050988
2022-03,jmlarar,487182.35156000004,5 days 02:48:22,122.80611111111111,3967.0855721439852
2022-03,jtorrem,636063.356076,6 days 04:49:41,148.82805555555555,4273.813520586957
2022-03,jtorresb,853989.601,10 days 05:29:26,245.49055555555555,3478.7065395138534
2022-03,jtoscano,1013391.379366,10 days 20:49:19,260.82194444444445,3885.376215274149
2022-03,mcarrill,1939.1399999999999,0 days 00:28:02,0.4672222222222222,4150.359096313912
2022-03,rholten,199464.71,2 days 00:21:07,48.35194444444444,4125.267603853688
2022-04,FLOPEZR,4286.026,0 days 01:05:22,1.0894444444444444,3934.139112697603
2022-04,JRODRIMA,8723.919,0 days 02:08:10,2.136111111111111,4084.0192977893366
2022-04,alopezb,697136.935136,6 days 04:29:03,148.48416666666665,4695.02540766524
2022-04,elopezt,3374.5440000000003,0 days 00:40:56,0.6822222222222222,4946.400000000001
2022-04,eperezv,435202.31372000003,4 days 23:46:37,119.77694444444444,3633.439772057784
2022-04,gilrodrigueza,657717.903646,6 days 05:02:01,149.0336111111111,4413.218593728111
2022-04,grangel,820660.678744,8 days 11:12:28,203.20777777777778,4038.5298619890973
2022-04,gsotor,144067.824,1 days 11:47:44,35.79555555555555,4024.7405512788678
2022-04,iperalta,1645.136,0 days 00:22:02,0.3672222222222222,4479.9467473524965
2022-04,jdelira,157566.825,1 days 19:09:01,43.15027777777778,3651.5830978299355
2022-04,jgalvana,21381.46,0 days 05:48:41,5.811388888888889,3679.2340710291096
2022-04,jmatahe,931120.351876,9 days 11:57:47,227.96305555555554,4084.523036449132
2022-04,jmlarar,529789.90508,5 days 05:02:05,125.03472222222223,4237.142256679811
2022-04,jtorrem,754041.427,7 days 16:33:12,184.55333333333334,4085.764333706607
2022-04,jtorresb,455691.233,3 days 23:47:06,95.785,4757.438356736441
2022-04,jtoscano,342058.899592,3 days 12:09:52,84.16444444444444,4064.173438675609
2022-04,mcarrill,29070.126,0 days 07:27:31,7.458611111111111,3897.52536590816
2022-04,rholten,388540.4965,3 days 11:28:34,83.47611111111111,4654.511228761389
2022-04,tflores,2300.4719999999998,0 days 00:33:10,0.5527777777777778,4161.657889447236
2022-05,FLOPEZR,7545.83,0 days 01:42:06,1.7016666666666667,4434.37610186092
2022-05,JRODRIMA,38158.775,0 days 10:05:17,10.088055555555556,3782.5698708593773
2022-05,alopezb,181068.80176,1 days 09:40:17,33.67138888888889,5377.526966811585
2022-05,elopezt,1401.48,0 days 00:23:54,0.3983333333333333,3518.3598326359834
2022-05,eperezv,840888.005141,8 days 10:50:58,202.84944444444446,4145.379877396208
2022-05,gilrodrigueza,175352.576,1 days 08:37:06,32.61833333333333,5375.890123141383
2022-05,grangel,993807.951526,8 days 09:42:51,201.71416666666667,4926.812865693618
2022-05,gsotor,13279.868,0 days 02:57:29,2.9580555555555557,4489.391003850127
2022-05,iperalta,630.552,0 days 00:06:54,0.115,5483.060869565217
2022-05,jdelira,556178.323,5 days 00:48:04,120.80111111111111,4604.082842321171
2022-05,jgalvana,375928.053,3 days 05:21:05,77.35138888888889,4860.003917188875
2022-05,jmatahe,784152.241,7 days 09:35:20,177.5888888888889,4415.547875242445
2022-05,jmlarar,241227.883,2 days 18:26:36,66.44333333333333,3630.580690312547
2022-05,jtorrem,933436.04306,8 days 03:48:22,195.8061111111111,4767.144588915907
2022-05,jtorresb,1201609.646,10 days 19:17:32,259.2922222222222,4634.1908588765145
2022-05,jtoscano,1765827.845753353,15 days 20:52:58,380.8827777777778,4636.145157457362
2022-05,mcarrill,20192.336000000003,0 days 03:42:24,3.7066666666666666,5447.572661870505
2022-05,rholten,157986.226,1 days 03:18:27,27.3075,5785.451835576307
2022-05,tflores,1070.3880000000001,0 days 00:19:50,0.33055555555555555,3238.148571428572
2022-06,JRODRIMA,49621.380000000005,0 days 10:08:01,10.133611111111112,4896.712480469286
2022-06,alopezb,524248.50294000003,4 days 10:51:09,106.8525,4906.282051800379
2022-06,elopezt,4547.088,0 days 00:53:48,0.8966666666666666,5071.1018587360595
2022-06,eperezv,1617001.66096,13 days 22:02:10,334.0361111111111,4840.798965061995
2022-06,gilrodrigueza,615589.0228819496,5 days 13:07:25,133.1236111111111,4624.191138926893
2022-06,grangel,1168569.983734,10 days 10:26:31,250.44194444444443,4666.031428266698
2022-06,gsotor,8993.694108091795,0 days 01:40:26,1.673888888888889,5372.933751930046
2022-06,gurodriguezr,70566.91977403304,0 days 11:56:48,11.946666666666667,5906.8292221567835
2022-06,iperalta,6787.464,0 days 01:22:52,1.3811111111111112,4914.495253419147
2022-06,jdelira,58825.786247238306,0 days 13:41:40,13.694444444444445,4295.594938946408
2022-06,jgalvana,300107.8283516782,2 days 17:15:56,65.26555555555555,4598.257469764729
2022-06,jmatahe,3229163.486739099,27 days 08:00:00,656.0,4922.505315151066
2022-06,jmlarar,1159602.1626490103,9 days 19:51:28,235.85777777777778,4916.531367227469
2022-06,jtorrem,1502645.96122,13 days 13:53:00,325.8833333333333,4610.993590405565
2022-06,jtorresb,1705404.7029379108,16 days 07:44:41,391.7447222222222,4353.357189507963
2022-06,jtoscano,2750963.2517540436,26 days 11:41:08,635.6855555555555,4327.553501431769
